full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Dee Liner,Dee,Liner,28.0,,DE,DL,,,Active,70.0,74,334.0,Arkansas State,4.0,,2024-09-17
Eric Weems,Eric,Weems,35.0,,WR,WR,,,Inactive,14.0,"5'9""",195.0,Bethune-Cookman,13.0,,2024-09-17
Jimmy Bean,Jimmy,Bean,28.0,,DE,DL,,,Active,63.0,77,250.0,Oklahoma State,5.0,,2024-09-17
Bamidele Olaseni,Bamidele,Olaseni,26.0,LV,OT,OT,,,Active,79.0,79,330.0,Utah,0.0,,2024-09-17
JC Copeland,JC,Copeland,26.0,,FB,RB,,,Inactive,48.0,"5'11""",271.0,LSU,1.0,,2024-09-17
Talolo Limi-Jones,Talolo,Limi-Jones,25.0,,WR,WR,,,Active,0.0,76,220.0,Eastern Washington,1.0,,2024-09-17
Chad Meredith,Chad,Meredith,27.0,,OLB,LB,,,Active,59.0,76,244.0,Southeast Missouri,4.0,,2024-09-17
Xavier Delgado,Xavier,Delgado,24.0,,G,,,,Active,60.0,76,329.0,Missouri,0.0,,2024-09-17
Cole Gardner,Cole,Gardner,28.0,,OT,OL,,,Active,0.0,77,295.0,Eastern Michigan,5.0,,2024-09-17
Ted Larsen,Ted,Larsen,34.0,,OG,OL,,,Active,0.0,75,323.0,North Carolina State,12.0,Questionable,2024-09-17
David Mims,David,Mims,25.0,,CB,DB,,,Inactive,38.0,"5'11""",198.0,Texas State,0.0,,2024-09-17
Orson Charles,Orson,Charles,30.0,,TE,TE,,,Inactive,83.0,75,257.0,Georgia,10.0,,2024-09-17
Terrill Hanks,Terrill,Hanks,26.0,,OLB,LB,,,Active,57.0,74,241.0,New Mexico State,3.0,,2024-09-17
Josh Johnson,Josh,Johnson,31.0,,CB,DB,,,Inactive,0.0,70,199.0,Purdue,9.0,,2024-09-17
Mychal Rivera,Mychal,Rivera,30.0,,TE,TE,,,Inactive,81.0,"6'3""",245.0,Tennessee,7.0,,2024-09-17
Toa Lobendahn,Toa,Lobendahn,25.0,,C,OL,,,Inactive,60.0,75,292.0,Southern California,3.0,,2024-09-17
Lavelle Westbrooks,Lavelle,Westbrooks,,,CB,DB,,,Inactive,22.0,"5'11""",186.0,Georgia Southern,1.0,,2024-09-17
Ricky Person,Ricky,Person,24.0,,RB,RB,,,Active,31.0,72,217.0,North Carolina State,1.0,Questionable,2024-09-17
A.T. Perry,A.T.,Perry,24.0,NO,WR,WR,LWR,5.0,Active,17.0,77,205.0,Wake Forest,1.0,Out,2024-09-17
Isaiah Pryor,Isaiah,Pryor,25.0,,LB,LB,,,Active,0.0,73,217.0,Notre Dame,2.0,,2024-09-17
Joey Ivie,Joey,Ivie,26.0,,DT,DL,,,Active,0.0,75,301.0,Florida,5.0,,2024-09-17
Xavier Johnson,Xavier,Johnson,25.0,HOU,WR,WR,,,Active,89.0,73,204.0,Ohio State,0.0,,2024-09-17
Jermaine Kearse,Jermaine,Kearse,31.0,,WR,WR,,,Injured Reserve,0.0,73,209.0,Washington,10.0,,2024-09-17
